combined_tagalog,english,difficulty,similarity_score,source
"Paniwalaan ninyo ako, isang kawanggawa ang palagiin ang bawa't isa sa kalagayang kinaroroonan; diyan naririyan ang kaayusan, ang pagkakasundo.","Believe me, it's an act of charity to hold every creature in his place - that is order, harmony.",Hard,0.7129,El Filibusterismo
Lumagay tayo sa lagay ng mga pilipino at itanong natin sa sarili kung ano ang ating gagawin kung tayo ang nasa gayong kalagayan!,"""Let us put ourselves in the place of the Filipinos and ask ourselves what we would do in their place.",Hard,0.7129,El Filibusterismo
"Ang marapat po ninyong gawin ay humanda; lihim ninyong papagsandatahin ang inyong mga sundalo, at ilagay ninyo sila sa magaling na mapagbabacayan; padalhan po ninyo aco ng apat na guardia sa convento, at ipaunawa ninyo ang mangyayari sa mga taga falua. --wala rito ang falua!","Muster your soldiers quietly and put them in ambush, send me four guards for the convento, and notify the men in charge of the boat.""",Hard,0.7129,Noli Me Tangere
"Alin sa dalawa: o sasabihing ""felipenas"" o dapat sabihing ""felipi""?",One of two things: either it was _Felipenas_ or it was necessary to say _Felipi!_,Medium,0.7127,Noli Me Tangere
"Cung ibig po ninyong sumunod sa akin, habang tayo'y lumalacad ay masasabi ninyo ang sa inyo'y nangyayari.","""If you wish to come, you can tell me as we go along what has happened to you.""",Hard,0.7127,Noli Me Tangere
"magbitiw ng tungcol!--ang ibinubulong, samantalang tumutungo sa simbahan,--magbitiw!","""Resign!"" he muttered as he made his way toward the church.",Medium,0.7127,Noli Me Tangere
"Ang maawaing matanda'y hindi makatiis, na iyong inaakala niyang talong talo na niya ay magbangon ng boong karangalan, sa pagkamatay.","The pious old lady could not bear the thought that he, whom she had long considered vanquished forever, should in dying come forward again with so much pomp.",Hard,0.7126,El Filibusterismo
"Palibhasa'y nais co ang iyong cagalingang siyang cagalingan co rin naman, at sa aking paghanap ng lalong mabuting paraang sa iyo'y paggamot, gagawin co sa iyo ang guinagawa ng mga tao sa una sa canilang mga may sakit: canilang itinatanghal ang mga may sakit na iyan sa mga baitang ng sambahan, at ng bawa't manggaling sa pagtawag sa dios ay sa canila'y ihatol ang isang cagamutan.","Desiring thy welfare, which is our own, and seeking the best treatment, I will do with thee what the ancients did with their sick, exposing them on the steps of the temple so that every one who came to invoke the Divinity might offer them a remedy.",Hard,0.7126,Noli Me Tangere
"Nang makita ni matandang selo ang mukha ng kaniyang anak, ay hindi nakapangahas na banggitin ang buwaya, nguni't tinangka niyang paglubagin sa pagsasabi ng ukol sa mga kasangkapang putik at ipinaalaala, na sa mga usapin, ang nananalo'y nawawalan ng baro't salawal.","Old Selo, on looking at his son's face, did not dare to mention the cayman, but tried to calm him by talking of clay jars, reminding him that the winner in a lawsuit was left without a shirt to his back.",Hard,0.7126,El Filibusterismo
"Si pray fernandez ay umunat: naging wari'y putok ng kanyon, sa ganang kaniya, ang kasagutan.",Fray Fernandez straightened up - that reply sounded to him like a cannon-shot.,Medium,0.7125,El Filibusterismo
"Naaaninagnagan ang maiitim nilang anyo sa malamlam na liwanag ng impapawid, at ang cahalimbawa nila'y mga fantasmang mula sa alang-alang na nanaog upang manood ng mga casayahan ng mga tao.",Their black silhouettes stood out in the vague clearness of the air like phantoms that had descended from space to witness the rejoicings of men.,Hard,0.7125,Noli Me Tangere
"Malaking buaya iyon, na gaya na nga ng ibinalita na ni leon may mga pinta, at sa ibabaw ng canyang licod ay may sumisibol ng lumot, na sa mga buaya'y siyang pinacauban cung baga sa tao.","It was a large one, as Leon had said, speckled, and on its back grew the green moss which is to the caymans what gray hairs are to men.",Hard,0.7125,Noli Me Tangere
"oh!--ang biglang naibigcas ni elias, na biglang binitiwan ng buong panglulupaypay ang sagwan sa loob ng bangca;--hindi co acalaing napacaimbi ang inyong pagpapalagay sa pamahalaan at sa bayan.","""Oh!"" exclaimed Elias dejectedly, throwing the paddle clown in the banka, ""I did not believe that you would have so poor an idea of the government and of the country.",Hard,0.7125,Noli Me Tangere
"Haling, nanglulupaypay, pigta ng pawis umalis si pari salvi sa canyang pinagtataguan, at nagpalingaplingap sa canyang paliguidliguid, na ang mga mata'y hibang.","Intoxicated, staggering, covered with perspiration, Padre Salvi left his hiding-place and looked all about him with rolling eyes.",Hard,0.7124,Noli Me Tangere
Matapos kami ang pamahalaan naman.,"After us, the government!""",Easy,0.7123,El Filibusterismo
Idinaragdag pa ng ilan kataong malumanay na iniuudyok sa capitan general ng eminencia negra na gamitin ang mga insik sa pagsugpo sa matibay na karangalan ng mga taga rito.,Some prudent persons added with winks and half-uttered words that his Black Eminence was advising the General to avail himself of the Chinese in order to humble the tenacious pride of the natives.,Hard,0.7123,El Filibusterismo
"Namamasdan ni basilio na ang mga pag-iilaw ay umuunti rin, na ang mga bitwin ay nawawala, na nang nakaraang taon ay kakaunti na ang mga palamuti at palawit, at nang taong ito ay lalo pa manding kaunti kay sa nakaraan....","But he also noticed that the lights were flickering, that the stars were being eclipsed, that this year had fewer ornaments and hangings than the former, which in turn had had even fewer than the year preceding it.",Hard,0.7123,El Filibusterismo
"Hindi dapat mawala ang musica ng pagsanghang ang escribano ang siyang may ari, at gayon din ang musica ng s.p. de t., na balitang totoo ng panahong iyon, dahil sa ang namamatnugot ay ang maestro austria ang lagalag bagang si ""cabo mariano,"" na ayon sa sabihana'y dala raw niya sa dulo ng canyang batuta ang pagcabantog at ang magagandang tinig.","The band of Pagsanhan belonging to the escribano must not be lacking nor that of San Pedro de Tunasan, at that time famous because it was directed by the maestro Austria, the vagabond ""Corporal Mariano"" who, according to report, carried fame and harmony in the tip of his baton.",Hard,0.7123,Noli Me Tangere
"Sa ganang canya'y nagbawas ang ganda ng escolta, baga man ngayo'y may isang malaking bahay na may mga ""cariatide""[164] sa dating kinatatayuan ng mga lumang camalig.",The Escolta appeared less beautiful in spite of the fact that an imposing building with caryatids carved on its front now occupied the place of the old row of shops.,Hard,0.7123,Noli Me Tangere
May nagsasabing kastila raw; anang iba'y insik; ang iba'y indio....,"Some say he was a Spaniard, some a Chinaman, and others an Indian.""",Medium,0.7123,El Filibusterismo
"Ang ginoong babae, ayon sa canyang pinagcaratihang huwag gumawa at cakilakilabot; walang pamuti ang canyang buhoc liban na lamang sa isang panyong nacatali sa canyang ulo, na doo'y pinababayaang macatacas ang mga maninipis at maiicling tungcos ng mga gusamot na buhoc ang barong franelang asul, na siyang na sa ibabaw ng isa pang barong marahil ng una'y puti, at isang sayang cupas, na siyang bumabalot at nagpapahalata ng mga payat at lapad na mga hita, na nagcacapatong at ipinag-gagalawan ng mainam.","She was dressed as usual, that is, badly and horribly: tied round her head a pañuelo, from beneath which escaped thin locks of tangled hair, a camisa of blue flannel over another which must once have been white, and a faded skirt which showed the outlines of her thin, flat thighs, placed one over the other and shaking feverishly.",Hard,0.7122,Noli Me Tangere
"Aco, mayamang gaya ni don crisostomo, marunong ng castilang gaya niya, at nacapagdadali-dali ng pagcaing may cuchiyo at cuchara?","""What, rich as Don Crisostomo is, knowing Spanish as he does, and able to eat fast with a knife and spoon, I'd laugh at five curates!""",Hard,0.7121,Noli Me Tangere
narurumhan ba ang camay ng cura na gaya ng mga camay ng manggagamot?,"""Does the curate dirty his hands as your doctors do?",Medium,0.7121,Noli Me Tangere
"Nakikinikinita ko ang pagsipot ng mga bayan sa kalapit ng mga daang bakal, at sa lahat ng pook ay may mga pagawaan na gaya noong nasa mandaluyong!....","I see towns arise along the railroads, and factories everywhere, edifices like that of Mandaloyan!",Hard,0.7121,El Filibusterismo
"Halos sapilitan ang pag-aanyaya upang uminom ng chocolate, cafe, cha, cumain ng matamis, at iba pa.","Almost by force were urged invitations to partake of chocolate, coffee, tea, and sweetmeats, these invitations not seldom reaching the proportions of a demand.",Hard,0.7121,Noli Me Tangere
"Sa gitna ng kabahayan at sa tapat ng mga parol na pula, ay may apat na dulang na bilog, na naaayos na patungko; ang mga luklukan ay mga uupang kahoy na bilog din.","In the center of the room under the red lanterns were placed four round tables, systematically arranged to form a square.",Hard,0.712,El Filibusterismo
"Nalimot niya ang lahat, lumiko at tinungo ang landas na linalakaran ng lalaki at ng prayle; yaon ang landas na tungo sa kanyang bukirin.","Forgetting everything else, he turned aside into the path they had taken, the one leading to his fields.",Hard,0.712,El Filibusterismo
Sino kaya ang kulang palad?,Who could the unfortunate be?,Easy,0.7119,El Filibusterismo
"sinabi co na sa inyong mag-uusap na tayo sa ibang araw, ngayo'y wala acong panahon!--ani ibarrang naiinip.","""I've told you that we'll talk about that some other time.",Hard,0.7119,Noli Me Tangere
"sayang!--ang isinagot ng babaeng taglay ang tunay na pagpipighati;--casabihang hanggang sa icasampong oras ng umaga bucas, ang mga calolowa'y malayang naglilibot at naghihintay ng sa canila'y pagbibigay guinhawa ng mga buhay; na ang isang misa sa mga panahong ito'y catimbang ng lima o anim na misa sa mga ibang araw ng isang taon, ayon sa sabi ng cura, caninang umaga.","""They say that until ten o'clock tomorrow the souls will wander at liberty, awaiting the prayers of the living, and that during these days one mass is equivalent to five on other days of the year, or even to six, as the curate said this morning.""",Hard,0.7119,Noli Me Tangere
Bakit caya nagcapaapaano ang pangalang ito?,How was that name corrupted?,Easy,0.7118,Noli Me Tangere
"Bumili ng mga lawlaw, pinitas sa canyang maliit na halamanan ang lalong magagandang camatis, sa pagca't nalalaman niyang siyang lalong minamasarap ni crisping pagcain, nanghingi sa canyang kapit bahay na si filosofo tasio, na tumitira sa may mga limangdaang metro ang layo sa canyang tahanan, ng tapang baboy-ramo, at isang hita ng patong-gubat, na pagcaing lalong minamasrap ni basilio.","She had bought some small fishes, picked the most beautiful tomatoes in her little garden, as she knew that Crispin was very fond of them, and begged from a neighbor, old Tasio the Sage, who lived half a mile away, some slices of dried wild boar's meat and a leg of wild duck, which Basilio especially liked.",Hard,0.7118,Noli Me Tangere
Nguni't sino ang makahihinala na lalabas ang anomang bagay na may kabuluhan sa isang ulong ang buhok ay walang ayos na nagtatapos sa katawan ng isang indio na masama ang sapatos at kahahalo pa lamang sa kaniya sa mga ibong mapangunyapit?,"But who would expect anything worth while to come from a head so badly combed and placed on an Indian poorly shod, classified until recently among the arboreal animals?",Hard,0.7118,El Filibusterismo
"Isang guro sa _clinica_ ang sumalubong sa kaniya, at matapos na mapigilan siya sa balikat na lubhang mahiwaga (ang guro ay kaibigan niya), ay marahan siyang tinanong: --naparoon ba kayo sa hapunan kagabi?","One of the clinical professors met him and placing his hand mysteriously on the youth's shoulder - the professor was a friend of his - asked him in a low voice, ""Were you at that supper last night?""",Hard,0.7117,El Filibusterismo
Sino kaya ang?...,"""Who's he?""",Easy,0.7117,El Filibusterismo
Ano ang mayroon sa kaniya kung gumuho man ang langit?,"What did it matter to him, even though the heavens should fall?",Medium,0.7116,El Filibusterismo
"Ang isa, ang nalalabi sa akin, ay hindi duwag na gaya ng canyang ama; at sa catacutan ng tacsil na nagpahirap na ipanghiganti sa canya ang pagcamatay ng canyang capatid, guinamit na dahilan ang cawal-an ng ""cedula personal"" na nalimutang sandali, piniit ng guardia civil, pinahirapan, guinalit at pinasamang totoo ang loob sa casalimura hanggang sa siya'y mapilitang magpacamatay!","The other, the one who was left to me, was not a coward like his father, so our persecutor was still fearful that he would wreak vengeance on him, and, under the pretext of his not having his cedula, [124] which he had not carried with him just at that time, had him arrested by the Civil Guard, mistreated him, enraged and harassed him with insults until he was driven to suicide!",Hard,0.7116,Noli Me Tangere
dalhin dito ang lumpiya!,"""Bring on the stew!""",Easy,0.7116,El Filibusterismo
sa aking palagay hindi po ninyo iniibig ang inyong mga anac ng alinsunod sa ipinag-uutos ng dios!--ang may cahigpitang sabi ni hermana rufa.,"""It seems to me that you don't love your children as God commands,"" said Sister Rufa in a rather severe tone.",Hard,0.7115,Noli Me Tangere
"ay, virgen sa antipolo!--ang sigaw ng babae.--ay, virgen del rosario at de la correa!","""Ay, Virgin of Antipolo!"" cried the woman.",Medium,0.7115,Noli Me Tangere
"Ang sabing ito'y nakatulig sa dalawa, na kapuwa mahihina at kapuwa walang magawa.","This drove those two beings to madness, weak and powerless as they were.",Medium,0.7115,El Filibusterismo
Inari ng lahat na malaki ang palagay at ang gayon ay ipinakilala sa mga galaw ng ulo.,All considered the plan wonderful and so indicated by the movements of their heads.,Medium,0.7114,El Filibusterismo
"Patay na ang lahat sa akin, at wala ng bangkay na dapat kong igalang ang kaniyang paghimlay!","Now everything is dead in me, no longer is there even a corpse sacred enough for me to respect its sleep.",Medium,0.7114,El Filibusterismo
"Nguni't sa di mabatid na kaparaanan ay nakalalampas si tadeo sa mga pagsusuri, ginigiliw ng kaniyang mga propesor at nahaharap sa isang magandang kinabukasan.","But by some occult, thaumaturgic art Tadeo passed the examinations, was beloved by the professors, and had before him a promising future.",Hard,0.7114,El Filibusterismo
Diligin muna sila ng dugo ng nagnanasa at ilibing sa kanila ang asawa't anak.,"Let him first irrigate them with his blood and bury in them his wife and daughter!""",Medium,0.7114,El Filibusterismo
"Huwag cayong gumawa ng gayon,--ani capitana maria;--ibig ba ninyong sila'y maglacad?","""Don't do that!"" said Capitana Maria.",Medium,0.7114,Noli Me Tangere
"Guinamit ng bayan ng san diego ang tatlong araw na ito, na kasama ang mga gabi sa paghahanda ng fiesta at sa mga salitaan, casabay ang mga pag-uupasala.","CHAPTER XXII Lights and Shadows Three days have passed since the events narrated, three days which the town of San Diego has devoted to making preparations for the fiesta, commenting and murmuring at the same time.",Hard,0.7114,Noli Me Tangere
"Isang araw na kasama ng mga ""_colegial_"" sa paglilibot ay nakagalit ng ilang ""_cadete_"", na, naging sanhi muna ng simulang pag-aaway at pagkatapos ay paghahamunan.","One day when he accompanied the collegians on their walk, he had a dispute with some cadets, which resulted in a skirmish and a challenge.",Hard,0.7114,El Filibusterismo
sa linggong darating! --na ba? --sa unang putok ng kanyon!,"""The coming week?""",Medium,0.7113,El Filibusterismo
"Ang mangyayari sa iyo sa hinaharap ang aking iniisip, minimithi co ang iyong caligayahan.","I was thinking of your future, I desired your happiness.",Medium,0.7113,Noli Me Tangere
"Pinakikinggan siya nang mga sundalo at hindi nangagsisiimik: ay! sa canila'y nagpapagunita ang mga tinig na iyon ng mga panahong una, yaong mga gunita ng panahong hindi pa narurungisan ang calinisan ng canilang budhi.",The soldiers heard her and fell silent; those airs awoke old memories of the days before they had been corrupted.,Hard,0.7113,Noli Me Tangere
"At tinudla ng cura ng matuling pagsulyap si maria clara, na nakikinig nguni't hindi inihihiwalay ang mga mata sa papel ng musica, baga man siya'y lihim na kinucurot ni sinang, na sa gayong paraa'y sinasaysay ang canyang catuwaan; sumayaw sana siya cung sila'y nag-iisa.","If it were not for Padre Damaso--"" Here the curate shot a quick glance at Maria Clara, who was listening without taking her eyes off the sheet of music, in spite of the sly pinches of Sinang, who was thus expressing her joy--had she been alone she would have danced.",Hard,0.7113,Noli Me Tangere
aco?,"""And you?""",Easy,0.7113,Noli Me Tangere
"Pinacsa cong calugdan at cawilihan ang pag-aaral, aking tinicang ang ""cartiya'y"" huwag malagay na librong maitim na napapaliguan ng mga luha ng camusmusan, cung di isang caibigang sa canya'y mag-uulat ng caguilaguilalas na mga lihim; na ang escuelaha'y huwag maguing pugad ng mga capighatian, cung di isang paraisong libangan ng isip.","I endeavored to make study a thing of love and joy, I wished to make the primer not a black book bathed in the tears of childhood but a friend who was going to reveal wonderful secrets, and of the schoolroom not a place of sorrows but a scene of intellectual refreshment.",Hard,0.7113,Noli Me Tangere
At bucod sa roo'y pawang panaguinip lamang ang aking naguing buhay!,"And after all, I have lived only in dreams!",Medium,0.7113,Noli Me Tangere
"Tingnan mo si ben-zayb, iyang mukhang prayle, na may dalang lapis sa kamay at isang balumbong papel, iyan ang dakilang manunulat na si ben-zayb, matalik kong kaibigan; may isang katalinuhan!....","Look at Ben-Zayb, him with the face of a friar, who's carrying a pencil and a roll of paper in his hand.",Hard,0.7112,El Filibusterismo
Tingnan natin ano ang sabi mo?,"Let's see now - what do you say?""",Easy,0.7112,El Filibusterismo
"at upang makitang tayo'y kalahok sa pamamahala sa akademia--ang patuloy ni makaraig--ay ipinagaganap sa atin ang paniningil ng mga ambagan at abuloy, na katungkulan nating ibigay sa isang ingat-yaman na ihahalal ng ""corporaciong"" mamamahala, at ang ingat-yamang iyon ay magkakaloob sa atin ng katibayan ng pagkakatanggap.... --kung gayo'y magiging kabisa tayo!--ang sabi ni tadeo.","""And in order that we may participate in the management of the academy,"" Makaraig went on, ""we are intrusted with the collection of contributions and dues, with the obligation of turning them over to the treasurer whom the corporation may designate, which treasurer will issue us receipts.""",Hard,0.7112,El Filibusterismo
Sa kahulihuliha'y nakarating sila sa isang wari'y kulob na malaki na may nag-iisang munting bahay na dukha na nalilibid ng sagingan at mga puno ng bunga.,They at length reached an open lot where a wretched hut stood off by itself surrounded by banana-plants and areca-palms.,Hard,0.7111,El Filibusterismo
"Cung paano ang pagcacaiba ng mga balac ni capitang tiago at ng canyang pinsang babae, nangagcacahati naman ang mga caibigan ng familia sa dalawang bahagui; nananalig ang isang bahaguing yao'y gawa ng himala, at ang isang bahagui nama'y inaacalang gawa yaon ng pamahalaan, baga man ang naniniwala ng ganito'y siyang lalong cacaunti.","In the same way that Capitan Tiago and his cousin diverged in their opinions, the friends of the family were also divided into two parties,--one miraculous, the other governmental, although this latter was insignificant.",Hard,0.7111,Noli Me Tangere
"don tiburcio, dalhin po ninyo ang inyong asawa!","""Don Tiburcio, take your wife away!",Easy,0.7111,Noli Me Tangere
Pumapasoc ang liwanag ng buwan sa bintana at sa pintuang canugnog ng batalang bato.,Through the window and a door that opened on the azotea the moonlight entered.,Medium,0.7111,Noli Me Tangere
Ang boses ay tumigil at makaraan ang ilang sandali'y lumakad ang sasakyan. kahi't na mapagwalang bahala si camaroncocido ay hindi rin nakapigil sa pagbulong na: --mayroong binabalak....,The voice ceased and a second later the carriage drove away.,Hard,0.711,El Filibusterismo
"Sa cawacasa'y inilawit ang mga bisig ng sundalong humihingal; ang alferez, na namumutla sa galit at sa pangguiguilalas, humudyat ng isa upang calaguin ang pinahihirapan.","At last the panting soldier let his arm fall, and the alferez, pale with anger and astonishment, made a sign for them to untie him.",Hard,0.711,Noli Me Tangere
"Samantalang sila'y napapalapit, nararamdaman ng binatang tumatahip ang canyang puso.",As they drew nearer the youth felt his heart beat faster.,Medium,0.711,Noli Me Tangere
"hindi ba ninyo nalalamang casalanan ang maniwala sa mga bagay na ganito?--ang winica, at saca pinunitpunit ng buong galit ang mga dahon ng libro.","""Don't you know that it's a sin to believe in these things?"" he scolded, tearing the leaves out angrily.",Hard,0.7108,Noli Me Tangere
marami akong karaingan ng _maestriyong_ iyan--ang sabi ng general na nakipagsulyapan kay simoun--inaakala kong ang lalong mabuti ay alisin siya. --alisin!--ang ulit ng kalihim.,"""I think the best thing would be to suspend him."" ""Suspended!"" repeated the secretary.",Hard,0.7108,El Filibusterismo
"P. fernandez,--ang pakli ni isagani;--kung itututop ninyo ang kamay sa inyong puso ay makasasagot _kayong_ tumutupad, nguni't kung itututop ang kamay sa puso ng inyong kalipunan, sa ibabaw ng puso ng lahat nang mga kalipunang prayle, ay hindi ninyo masasabi ang gayon ng hindi masisinungalingan!","""We're fulfilling - "" ""Ah, Padre Fernandez,"" interrupted Isagani, ""you with your hand on your heart can say that you are fulfilling it, but with your hand on the heart of your order, on the heart of all the orders, you cannot say that without deceiving yourself.",Hard,0.7108,El Filibusterismo
"Ang binata'y lito; tinitingnan ang manghihiyas ng matang kinalalarawanan ng pagkasindak, naramdamang ang kaniyang mga paa't kamay ay nanglalamig at libo-libong nagkakasalimuut na pagkukuro ang nagdaraan sa kaniyang pag-iisip; nakikitang ang mga lansangan ay nagdadanak sa dugo, nadidingig ang putukan, napapagitna siya sa mga patay at sugatan at katangi tanging lakas ng hilig! nakikita niyang siya, na suot ang damit sa paggawa, ay nagpuputol ng mga hita't nag-aalis ng mga punlo.","He saw the streets running blood, he heard the firing, he found himself among the dead and wounded, and by the peculiar force of his inclinations fancied himself in an operator's blouse, cutting off legs and extracting bullets.",Hard,0.7107,El Filibusterismo
bakit ba ninyo hinuli ang babaeng iyan?,"""Why are you arresting her?",Easy,0.7107,Noli Me Tangere
"Gayon man, kahi't hindi ninyo tinugunan ang aking pag-asa, sa araw na magbago kayo ng paghahaka, ay hanapin ninyo ako sa aking bahay sa escolta at paglilingkuran ko kayo ng boong lugod.","After all, even though you have not corresponded to my hopes, the day on which you change your mind, look me up at my house in the Escolta, and I'll be glad to help you.""",Hard,0.7107,El Filibusterismo
at cung sila'y pakinggan?,"""Don't you hear them?",Easy,0.7106,Noli Me Tangere
"Nang mga sandaling yaon ay siyang pagdaraan sa kanilang tabi ni isagani at ni paulita gomez na nagbubulungan ng matatamis na salita; sa likuran ay kasunod si aling victorina na kasama si juanito pelaez, na malakas ang pagsasalita, nagkukukumpay at lalo pang nakukuba.","Behind them came Doña Victorina with Juanito Pelaez, who was talking in a loud voice, busily gesticulating, and appearing to have a larger hump than ever.",Hard,0.7106,El Filibusterismo
"Nanhic, ng magcagayon, ang nagbibinata ng anac ng mangingisda, sa pabahay ng baclad, na na sa dacong dulong pinagtatalicupan nito at doo'y maisusulat ang ""lasciate ogni speranza voi ch'entrate"", cung marunong sana at nacacawatas ng wicang italiano ang mga culang palad na mga isda: ang pumapasoc sa canila roo'y hindi lumalabas cung di ng mamatay.","Andeng at length announced that the soup was ready to receive its guests, so the young fisherman climbed up into the pen placed at the narrower end of the corral, over which might be written for the fishes, were they able to read and understand Italian, ""_Lasciate ogni speranza voi ch' entrante_,"" [72] for no fish that gets in there is ever released except by death.",Hard,0.7106,Noli Me Tangere
"Nang macaraan ang apat o limang oras ay pinagsasalitaanan ang casalucuyang mga nangyayari sa isang pulong ng mga nagmamataas, sa loob ng maynila.","Four or five hours later, at a pretentious reception in the Walled City, current events were being commented upon.",Hard,0.7106,Noli Me Tangere
"Unti unting dumadating ang mga taong akay ng kabantugan ng mga hiyas na dala ng mag-aalahas: isa't isa'y nagbabatian ng maligayang pasko, nangag-uusap ng tungkol sa misa, mga santo, masamang ani, nguni't gayon man ay gugugulin ang kanilang naiipon sa pagbili ng mga bato at mga bagay bagay na galing sa europa.","They wished one another merry Christmas, they talked of masses, saints, poor crops, but still were there to spend their savings for jewels and trinkets brought from Europe.",Hard,0.7106,El Filibusterismo
"Xviii tatakut naging parang manghuhula si ben-zayb nang patunayan sa kaniyang pamahayagan, ng mga nakaraang araw, na ang pag-papaaral ay masama, lubhang makasasama sa kapuluang pilipinas: ngayon, sa harap ng mga nangyari niyong araw ng biernes ng mga paskin, ay nangakak ang manunulat at inaawit ang kaniyang pagtatagumpay, at pinapangliit at nilito ang kaniyang kalabang si _horatius_ na nangahas na kutyain siya sa tudling ng _pirotecnia_ sa ganitong paraan: * * * * * sa aming kapamahayagang _el grito_: ""ang pagpapaaral ay masama, lubhang makasasama sa pilipinas!""","CHAPTER XXVIII TATAKUT With prophetic inspiration Ben-Zayb had been for some days past maintaining in his newspaper that education was disastrous, very disastrous for the Philippine Islands, and now in view of the events of that Friday of pasquinades, the writer crowed and chanted his triumph, leaving belittled and overwhelmed his adversary Horatius, who in the Pirotecnia had dared to ridicule him in the following manner: From our contemporary, El Grito: ""Education is disastrous, very disastrous, for the Philippine Islands.""",Hard,0.7105,El Filibusterismo
Pinipilit ko ba kayong makihati sa aking kapanagutan?,"Do I compel you to share my responsibility?""",Easy,0.7105,El Filibusterismo
"mahigit nang walong taong na ako'y nagtuturo,--ang patuloy ni p. fernandez na palakadlakad--at nakilala ko't nakasalamuha ang mahigit sa dalawang libo at limang daang binata; tinuruan ko sila, pinunyagi ko ang mapadunong, inaralan ko ng pagtataglay ng katwiran, ng karangalan, nguni't gayon man, sa panahong ito na lubhang marami ang inilalait sa amin, ay wala akong nakitang isa man na nagkaroon ng kapangahasang pagmatigasan ang kaniyang mga sinasabi kapag nahaharap sa isang prayle.... ni masabi man lamang ng malakas sa harap ng marami....","""For more than eight years I have been a professor here,"" resumed Padre Fernandez, still continuing to pace back and forth, ""and in that time I've known and dealt with more than twenty-five hundred students.",Hard,0.7105,El Filibusterismo
"Nagpapacarahan siya ng buong caya upang huwag umingay, unti-unting siya'y pumanhic, at nakikinig siya ng mainam at nagbabaca-sacaling marinig niya ang isang voces na kilala, voces na sariwa voces bata.","As she went up the stairway she, tried to make as little noise as possible and listened attentively in the hope that she might hear a fresh, childish voice, so well known to her.",Hard,0.7105,Noli Me Tangere
Nagpatuloy sila ng pamamangca.,Then they continued on their way.,Easy,0.7105,Noli Me Tangere
Samantala'y natapos ng maglilibing ang canyang gawa; dalawang nacatimbong lupang basa at mapulapula ang na sa magcabilang tabi ng hucay.,"Meanwhile, the grave-digger had completed his task, attested by the two mounds of fresh red earth at the sides of the grave.",Hard,0.7105,Noli Me Tangere
At kayo p. sibyla ay huwag bumanggit ng mga wikang latin at ng mga katunggakan.,"And you, Padre Sibyla, don't talk either Latin or nonsense.",Medium,0.7105,El Filibusterismo
"At tinukoy ng mga babai, ang mga pangalan ng mga dalagang magaganda't mayayaman, na nagkaroon ng ganito o gayong kasawian.","Hero the good women cited names of unmarried girls, rich and beautiful, who had been more or less unfortunate.",Hard,0.7104,El Filibusterismo
"Pinagmamasdan ang tubig ng dalawang taong capuwa pawang lucsa, ang pananamit mula sa isang mataas na kinalalagyan: si ibarra ang isa sa canila, at ang isa'y isang binatang mapagpacumbaba ang anyo at mapanglaw ang pagmumukha.",Two men dressed in deep mourning stood gazing at the water from a little elevation: one was Ibarra and the other a youth of humble aspect and melancholy features.,Hard,0.7104,Noli Me Tangere
"Hindi ba sa ilalim din ng balabal na madilim ng gabi idinadaos ang ""academia de dibujo"" at ang mga nobenario at mga prusisyon?....","But don't the classes of the Academy of Drawing, and the novenaries and the processions, cover themselves with the mantle of night?""",Hard,0.7103,El Filibusterismo
"Xxi ang mataas na kawani l'espagne et sa vertu, l'espagne et sa grandeur tout s'en va!","CHAPTER XXXI THE HIGH OFFICIAL L'Espagne et sa, vertu, l'Espagne et sa grandeur Tout s'en va!",Hard,0.7103,El Filibusterismo
Ito ang isinulat ng mabait na corresponsal.,Thus wrote the worthy correspondent.,Easy,0.7103,Noli Me Tangere
"Ngayon di'y haharap ako sa capitan general, upang aco'y humandog sa pakikihamoc laban sa mga nanghihimagsik, ngayon din!","Well--well--well, this very minute I'd go to the Captain-General and offer to fight against the rebels, this very minute!""",Hard,0.7103,Noli Me Tangere
"Ang isa sa mga guro ay lubhang kilala, naiibigan ng lahat; kinikilalang marunong, dakilang makata at may mga pagkukurong malaya.","One of the two professors was very popular, beloved by all, passing for a sage, a great poet, and a man of advanced ideas.",Hard,0.7102,El Filibusterismo
"At kinabucasa'y tumanggap si rodoreda ng biling iukit sa isang losa ng maitim na marmol ang ganito: dr. de espadana, especialista en toda clase de emfermedades (manggagamot na tangi sa lahat ng bagay na sakit).","So on the following day Rodoreda [120] received an order to engrave on a slab of black marble: DR. DE ESPADAÑA, SPECIALIST IN ALL KINDS OF DISEASES.",Hard,0.7102,Noli Me Tangere
"Nawawatasan niyang magaling: marahil nauuhaw sa ulan ang pusong iyong mabato at tuyo, ayon sa ""cundiman"", tila baga mandin ay nanaog naman sa ibabaw ng canyang puso: ""ang calungcuta't guinaw at ang calamigang sa langit ay buhat, putos ng balabal ng gabing marilim at labis ng panglaw""....","She understood it well: ""The sadness, the cold, and the moisture that descend from the sky when wrapped in the mantle of night,"" so ran the _kundíman_, seemed to be descending also on her heart.",Hard,0.7102,Noli Me Tangere
"nguni't masasabi po ba ninyo sa akin, guinoong laruja, cung anong tao caya ang may ari ng bahay?--ang tanong ng binatang mapula ang buhoc.--ako'y hindi pa naipapakilala sa canya[83].","""But can you tell me, Señor Laruja, what kind of man our host is?"" inquired the rubicund youth.",Hard,0.7102,Noli Me Tangere
